actor_id,edits,username,team_or_ex-team,member_convo,member_academy,teacher,teacher_student,age,bundesland
396,100,Tinsaye,,0,,,,,
95849,95,hernlmax,,0,,,,,
79391,93,dv1d,,0,,,,,
105061,93,Olefant,1,0,0,0,0,,
81280,91,RebekkaRohe,1,0,,0,0,,
70444,90,Benni,,0,,,,,
123521,89,Felix96,,0,,,,,
78142,88,adahermelink,0,0,0,,,,
105102,86,Annka_Bremer,0,0,0,,,,
96306,80,emkadys,0,0,0,1,,,
15473,80,inyono,1,0,,0,0,,
135234,73,Hanna_Kulke,0,0,0,,,,Bayern
49129,73,testaccount,,0,,,,,
131010,71,Liv_a,,0,,,,,
138990,67,Evi,,0,,,,,
85169,66,Grimberg-Noah,,0,,,,,
76919,63,Fracture,,0,,,,,
69190,62,fxjonas,,0,,,,,
116296,61,PatrickO,,0,,,,,
137965,61,Rubikscube,0,0,0,,,,
97449,60,Jorin,,0,,,,,
63268,60,kurrater,,0,,,,,
134769,59,dems15v1,0,0,0,,,,
131533,56,I_M_MEEN,,0,,,,,
64302,56,Digamma,0,0,0,,,,Baden-Württemberg
79947,55,annangy,0,0,0,,,,
